Template;Screen Name;Stance;SCM Shop;LoA;Equipment Type;World Level;Excluded;Item Set;Item Type;Rarity;Material;TN Stance;Req. Stat;Icon;Variants
bo_bo_sl_f_g_c_avg;Studded Leather Boots;Fighter;v_f_bo_n;;armor;;;;bo;;sl;f;str;b_gui_ig_i_a_boot_010;base, c_fin, c_mag, c_str, o_avg, o_fin, o_mag, o_str
bo_gr_ba_f_g_c_avg;Banded Greaves;Fighter;v_f_bo_n;;armor;;;;bo;;ba;f;str;b_gui_ig_i_a_boot_008;base, c_fin, c_mag, c_str, o_avg, o_fin, o_mag, o_str
bo_gr_bl_f_g_c_avg;Boiled Leather Greaves;Fighter;v_f_bo_n;;armor;;;;bo;;bl;f;str;b_gui_ig_i_a_boot_018;base, c_fin, c_mag, c_str, o_avg, o_fin, o_mag, o_str
bo_gr_fp_f_g_c_avg;Full Plate Greaves;Fighter;v_f_bo_n;;armor;;;;bo;;fp;f;str;b_gui_ig_i_a_boot_009;base, c_fin, c_mag, c_str, o_avg, o_fin, o_mag, o_str
bo_ra_bo_br_f_g_c_fin;Sporting Boots;Fighter;v_f_bo_s;;armor;;;;bo;rare;br;f;str;b_gui_ig_i_a_boot_081;base, c_mag, o_fin
bo_ra_bo_ch_f_g_c_fin;Kicker Boots;Fighter;v_f_bo_s;;armor;;;;bo;rare;ch;f;str;b_gui_ig_i_a_boot_087;base, c_mag, o_fin, o_str
bo_ra_bo_le_f_g_c_fin;Ready Boots;Fighter;v_f_bo_s;;armor;;;;bo;rare;le;f;;b_gui_ig_i_a_boot_076;base, o_fin
bo_ra_bo_sc_f_g_c_fin;Blade Boots;Fighter;v_f_bo_s;;armor;;;;bo;rare;sc;f;str;b_gui_ig_i_a_boot_084;base, o_fin, o_mag
bo_ra_bo_sl_f_g_c_fin;Rock Pelt Boots;Fighter;v_f_bo_s;;armor;;;;bo;rare;sl;f;str;b_gui_ig_i_a_boot_078;base, o_fin, o_str
bo_ra_gr_ba_f_g_c_fin;Pain Greaves;Fighter;v_f_bo_s;;armor;;;;bo;rare;ba;f;str;b_gui_ig_i_a_boot_095;base, o_fin, o_mag
bo_ra_gr_bl_f_g_c_fin;Hunter Greaves;Fighter;v_f_bo_s;;armor;;;;bo;rare;bl;f;str;b_gui_ig_i_a_boot_091;base, c_mag, o_fin, o_str
bo_ra_gr_fp_f_g_c_fin;Steel Greaves;Fighter;v_f_bo_s;;armor;;;;bo;rare;fp;f;str;b_gui_ig_i_a_boot_098;base, c_str, o_fin, o_str
bo_un_bo_br_f_bone;Bone Boots;Fighter;v_f_bo_s;;armor;;;;bo;unique;br;f;str;b_gui_ig_i_a_boot_073;base
bo_un_bo_br_f_spider;Black Widow Greaves;Fighter;v_f_bo_s;;armor;;;;bo;unique;br;f;str;b_gui_ig_i_a_boot_074;base
bo_un_bo_ch_r_green;Woodland Boots;Ranger;v_r_amr_s;;armor;;;;bo;unique;ch;r;str;b_gui_ig_i_a_boot_071;base
bo_un_bo_pl_f_crytstal;Crystal Boots;Fighter;v_f_bo_s;;armor;;;;bo;unique;pl;f;str;b_gui_ig_i_a_boot_072;base
bo_un_bo_ro_m_molten;Molten Boots;Fighter;v_f_bo_s;;armor;;;;bo;unique;ro;m;str;b_gui_ig_i_a_boot_069;base
bo_un_bo_sc_f_dragon;Serpentine Boots;Fighter;v_f_bo_s;;armor;;;;bo;unique;sc;f;str;b_gui_ig_i_a_boot_075;base
bo_un_bo_sl_f_barbarian;Olaf's Boots;Fighter;v_f_bo_s;;armor;;;;bo;unique;sl;f;;b_gui_ig_i_a_boot_070;base
gl_ga_ba_f_g_c_avg;Banded Gauntlets;Fighter;v_f_gl_n;;armor;;;;gl;;ba;f;str;b_gui_ig_i_a_gntl_011;base, c_fin, c_mag, c_str, o_avg, o_fin, o_mag, o_str
gl_ga_bl_f_g_c_avg;Boiled Leather Gauntlets;Fighter;v_f_gl_n;;armor;;;;gl;;bl;f;str;b_gui_ig_i_a_gntl_024;base, c_fin, c_mag, c_str, o_avg, o_fin, o_mag, o_str
gl_ga_br_f_g_c_avg;Brigandine Gauntlets;Fighter;v_f_gl_n;;armor;;;;gl;;br;f;str;b_gui_ig_i_a_gntl_009;base, c_fin, c_mag, c_str, o_avg, o_fin, o_mag, o_str
gl_ga_fp_f_g_c_avg;Full Plate Gauntlets;Fighter;v_f_gl_n;;armor;;;;gl;;fp;f;str;b_gui_ig_i_a_gntl_005;base, c_fin, c_mag, c_str, o_avg, o_fin, o_mag, o_str
gl_ga_sc_f_g_c_avg;Scale Gauntlets;Fighter;v_f_gl_n;;armor;;;;gl;;sc;f;str;b_gui_ig_i_a_gntl_010;base, c_fin, c_mag, c_str, o_avg, o_fin, o_mag, o_str
gl_gl_bl_f_g_c_avg;Boiled Leather Gloves;Fighter;v_f_gl_n;;armor;;;;gl;;bl;f;str;b_gui_ig_i_a_gntl_016;base, c_fin, c_mag, c_str, o_avg, o_fin, o_mag, o_str
gl_gl_br_f_g_c_avg;Brigandine Gloves;Fighter;v_f_gl_n;;armor;;;;gl;;br;f;str;b_gui_ig_i_a_gntl_008;base, c_fin, c_mag, c_str, o_avg, o_fin, o_mag, o_str
gl_gl_ch_f_g_c_avg;Chain Gloves;Fighter;v_f_gl_n;;armor;;;;gl;;ch;f;str;b_gui_ig_i_a_gntl_003;base, c_fin, c_mag, c_str, o_avg, o_fin, o_mag, o_str
gl_gl_le_f_g_c_avg;Leather Gloves;Fighter;v_f_gl_n;;armor;;;;gl;;le;f;;b_gui_ig_i_a_gntl_012;base, c_fin, c_mag, c_str, o_avg, o_fin, o_mag, o_str
gl_gl_sc_f_g_c_avg;Scale Gloves;Fighter;v_f_gl_n;;armor;;;;gl;;sc;f;str;b_gui_ig_i_a_gntl_004;base, c_fin, c_mag, c_str, o_avg, o_fin, o_mag, o_str
gl_gl_sl_f_g_c_avg;Studded Leather Gloves;Fighter;v_f_gl_n;;armor;;;;gl;;sl;f;str;b_gui_ig_i_a_gntl_002;base, c_fin, c_mag, c_str, o_avg, o_fin, o_mag, o_str
gl_ra_ga_ba_f_g_c_fin;Solar Gauntlets;Fighter;v_f_gl_s;;armor;;;;gl;rare;ba;f;str;b_gui_ig_i_a_gntl_123;base, c_mag, c_str, o_fin, o_str
gl_ra_ga_bl_f_g_c_fin;Zenith Gauntlets;Fighter;v_f_gl_s;;armor;;;;gl;rare;bl;f;str;b_gui_ig_i_a_gntl_116;base, o_fin
gl_ra_ga_br_f_g_c_fin;Spectral Gauntlets;Fighter;v_f_gl_s;;armor;;;;gl;rare;br;f;str;b_gui_ig_i_a_gntl_118;base, o_fin, o_mag
gl_ra_ga_fp_f_g_o_avg;Chief Gauntlets;Fighter;v_f_gl_s;;armor;;;;gl;rare;fp;f;str;b_gui_ig_i_a_gntl_129;base, c_fin, c_str, o_fin, o_str
gl_ra_ga_sc_f_g_c_fin;Terrestrial Gauntlets;Fighter;v_f_gl_s;;armor;;;;gl;rare;sc;f;str;b_gui_ig_i_a_gntl_121;base, o_fin
gl_ra_gl_bl_f_g_c_fin;Marshal Gloves;Fighter;v_f_gl_s;;armor;;;;gl;rare;bl;f;str;b_gui_ig_i_a_gntl_102;base, o_fin
gl_ra_gl_br_f_g_c_fin;Lunar Gloves;Fighter;v_f_gl_s;;armor;;;;gl;rare;br;f;str;b_gui_ig_i_a_gntl_104;base, o_fin, o_mag, o_str
gl_ra_gl_ch_f_g_c_fin;Sultan Gloves;Fighter;v_f_gl_s;;armor;;;;gl;rare;ch;f;str;b_gui_ig_i_a_gntl_111;base, c_mag, c_str, o_fin, o_str
gl_ra_gl_le_f_g_c_fin;Punisher Gloves;Fighter;v_f_gl_s;;armor;;;;gl;rare;le;f;str;b_gui_ig_i_a_gntl_098;base, o_fin
gl_ra_gl_sc_f_g_c_fin;Rock Scale Gloves;Fighter;v_f_gl_s;;armor;;;;gl;rare;sc;f;str;b_gui_ig_i_a_gntl_108;base, o_fin, o_str
gl_ra_gl_sl_f_g_c_fin;Secure Gloves;Fighter;v_f_gl_s;;armor;;;;gl;rare;sl;f;str;b_gui_ig_i_a_gntl_100;base, o_fin
gl_un_gl_br_f_spider;Black Widow Gauntlets;Fighter;v_f_gl_s;;armor;;;;gl;unique;br;f;str;b_gui_ig_i_a_gntl_096;base
gl_un_gl_ch_r_green;Woodland Gloves;Ranger;v_r_amr_s;;armor;;;;gl;unique;ch;r;str;b_gui_ig_i_a_gntl_094;base
gl_un_gl_pl_f_crystal;Crystal Gauntlets;Fighter;v_f_gl_s;;armor;;;;gl;unique;pl;f;str;b_gui_ig_i_a_gntl_095;base
gl_un_gl_ro_m_molten;Molten Gloves;Fighter;v_f_gl_s;;armor;;;;gl;unique;ro;m;str;b_gui_ig_i_a_gntl_093;base
gl_un_gl_sc_f_dragon;Serpentine Gauntlets;Fighter;v_f_gl_s;;armor;;;;gl;unique;sc;f;str;b_gui_ig_i_a_gntl_097;base
he_ca_le_avg;Leather Cap;;x_any;;armor;;;;he;;le;;;b_gui_ig_i_a_hlmt_006;base
he_ca_pl_avg;Steel Cap;Fighter;v_f_he_n;;armor;;;;he;;pl;;str;b_gui_ig_i_a_hlmt_004;base
he_ca_pl_blue;Iron Helm;Fighter;v_f_he_n;;armor;;;;he;;pl;;str;b_gui_ig_i_a_hlmt_014;base
he_ca_pl_blue_02;Onyx Helm;Fighter;v_f_he_n;;armor;;;;he;;pl;;str;b_gui_ig_i_a_hlmt_089;base
he_ca_pl_cap;Plate Cap;Fighter;v_f_he_n;;armor;;;;he;;pl;;str;b_gui_ig_i_a_hlmt_028;base
he_ca_pl_cap_brown;Earthen Helm;Fighter;v_f_he_n;;armor;;;;he;;pl;;str;b_gui_ig_i_a_hlmt_045;base
he_ca_pl_dome;Dome Cap;Fighter;v_f_he_n;;armor;;;;he;;pl;;str;b_gui_ig_i_a_hlmt_019;base
he_ca_pl_fin;Ridge Helm;Fighter;v_f_he_n;;armor;;;;he;;pl;;str;b_gui_ig_i_a_hlmt_013;base
he_ca_pl_mag;Brow Cap;Fighter;v_f_he_n;;armor;;;;he;;pl;;str;b_gui_ig_i_a_hlmt_009;base
he_ca_pl_ornage;Solar Cap;Fighter;v_f_he_n;;armor;;;;he;;pl;;str;b_gui_ig_i_a_hlmt_012;base
he_ca_ro_felt_01;Felt Cap;Mage;v_m_hgb_n;;armor;;;;he;;ro;;;b_gui_ig_i_a_hlmt_038;base
he_ca_ro_felt_02;Felt Cap;Mage;v_m_hgb_n;;armor;;;;he;;ro;;;b_gui_ig_i_a_hlmt_075;base
he_ca_ro_felt_03;Felt Cap;Mage;v_m_hgb_n;;armor;;;;he;;ro;;;b_gui_ig_i_a_hlmt_076;base
he_ca_ro_felt_04;Felt Cap;Mage;v_m_hgb_n;;armor;;;;he;;ro;;int;b_gui_ig_i_a_hlmt_077;base
he_ca_ro_flat_01;Flat Cap;Mage;v_m_hgb_n;;armor;;;;he;;ro;;int;b_gui_ig_i_a_hlmt_016;base
he_ca_ro_flat_02;Flat Cap;Mage;v_m_hgb_n;;armor;;;;he;;ro;;int;b_gui_ig_i_a_hlmt_066;base
he_ca_ro_flat_03;Flat Cap;Mage;v_m_hgb_n;;armor;;;;he;;ro;;int;b_gui_ig_i_a_hlmt_067;base
he_ca_ro_flat_04;Flat Cap;Mage;v_m_hgb_n;;armor;;;;he;;ro;;int;b_gui_ig_i_a_hlmt_068;base
he_ca_ro_gemblue;Gem Cap;Mage;v_m_hgb_n;;armor;;;;he;;ro;;;b_gui_ig_i_a_hlmt_037;base
he_ca_ro_green;Fabric Cap;Mage;v_m_hgb_n;;armor;;;;he;;ro;;;b_gui_ig_i_a_hlmt_038;base
he_ca_ro_slope_01;Peak Cap;Mage;v_m_hgb_n;;armor;;;;he;;ro;;;b_gui_ig_i_a_hlmt_035;base
he_ca_ro_slope_02;Peak Cap;Mage;v_m_hgb_n;;armor;;;;he;;ro;;;b_gui_ig_i_a_hlmt_078;base
he_ca_ro_slope_03;Peak Cap;Mage;v_m_hgb_n;;armor;;;;he;;ro;;;b_gui_ig_i_a_hlmt_079;base
he_ca_ro_slope_04;Peak Cap;Mage;v_m_hgb_n;;armor;;;;he;;ro;;int;b_gui_ig_i_a_hlmt_080;base
he_ca_ro_thin_01;Thin Cap;Mage;v_m_hgb_n;;armor;;;;he;;ro;;int;b_gui_ig_i_a_hlmt_008;base
he_ca_ro_thin_02;Thin Cap;Mage;v_m_hgb_n;;armor;;;;he;;ro;;;b_gui_ig_i_a_hlmt_060;base
he_ca_ro_thin_03;Thin Cap;Mage;v_m_hgb_n;;armor;;;;he;;ro;;;b_gui_ig_i_a_hlmt_061;base
he_ca_ro_thin_04;Thin Cap;Mage;v_m_hgb_n;;armor;;;;he;;ro;;;b_gui_ig_i_a_hlmt_062;base
he_ca_ro_turban_01;Coiled Cap;Mage;v_m_hgb_n;;armor;;;;he;;ro;;int;b_gui_ig_i_a_hlmt_037;base
he_ca_ro_turban_02;Coiled Cap;Mage;v_m_hgb_n;;armor;;;;he;;ro;;int;b_gui_ig_i_a_hlmt_063;base
he_ca_ro_turban_03;Coiled Cap;Mage;v_m_hgb_n;;armor;;;;he;;ro;;int;b_gui_ig_i_a_hlmt_064;base
he_ca_ro_turban_04;Coiled Cap;Mage;v_m_hgb_n;;armor;;;;he;;ro;;int;b_gui_ig_i_a_hlmt_065;base
he_ca_ro_wizard_01;Wizard Cap;Mage;v_m_hgb_n;;armor;;;;he;;ro;;int;b_gui_ig_i_a_hlmt_010;base
he_ca_ro_wizard_02;Wizard Cap;Mage;v_m_hgb_n;;armor;;;;he;;ro;;int;b_gui_ig_i_a_hlmt_055;base
he_ca_ro_wizard_03;Wizard Cap;Mage;v_m_hgb_n;;armor;;;;he;;ro;;int;b_gui_ig_i_a_hlmt_056;base
he_ca_ro_wizard_04;Wizard Cap;Mage;v_m_hgb_n;;armor;;;;he;;ro;;int;b_gui_ig_i_a_hlmt_057;base
he_ca_ro_wizard_05;Wizard Cap;Mage;v_m_hgb_n;;armor;;;;he;;ro;;int;b_gui_ig_i_a_hlmt_058;base
he_ca_ro_wizard_06;Wizard Cap;Mage;v_m_hgb_n;;armor;;;;he;;ro;;int;b_gui_ig_i_a_hlmt_059;base
he_ca_ro_wizard_07;Wizard Cap;Mage;v_m_hgb_n;;armor;;;;he;;ro;;int;b_gui_ig_i_a_hlmt_095;base
he_ca_ro_wooly_01;Wooly Cap;Mage;v_m_hgb_n;;armor;;;;he;;ro;;;b_gui_ig_i_a_hlmt_036;base
he_ca_ro_wooly_02;Wooly Cap;Mage;v_m_hgb_n;;armor;;;;he;;ro;;;b_gui_ig_i_a_hlmt_072;base
he_ca_ro_wooly_03;Wooly Cap;Mage;v_m_hgb_n;;armor;;;;he;;ro;;int;b_gui_ig_i_a_hlmt_073;base
he_ca_ro_wooly_04;Wooly Cap;Mage;v_m_hgb_n;;armor;;;;he;;ro;;int;b_gui_ig_i_a_hlmt_074;base
he_ca_ro_woven_01;Thicket Helm;Mage;v_m_hgb_n;;armor;;;;he;;ro;;int;b_gui_ig_i_a_hlmt_015;base
he_ca_ro_woven_02;Woven Cap;Mage;v_m_hgb_n;;armor;;;;he;;ro;;int;b_gui_ig_i_a_hlmt_069;base
he_ca_ro_woven_03;Woven Cap;Mage;v_m_hgb_n;;armor;;;;he;;ro;;int;b_gui_ig_i_a_hlmt_070;base
he_ca_ro_woven_04;Woven Cap;Mage;v_m_hgb_n;;armor;;;;he;;ro;;int;b_gui_ig_i_a_hlmt_071;base
he_ca_sl_avg;Studded Cap;Fighter;v_f_he_n;;armor;;;;he;;sl;;str;b_gui_ig_i_a_hlmt_011;base
he_fu_bronze;Bronze Helm;Fighter;v_f_he_n;;armor;;;;he;;;;str;b_gui_ig_i_a_hlmt_024;base
he_fu_bronze_02;Centaur Helm;Fighter;v_f_he_n;;armor;;;;he;;;;str;b_gui_ig_i_a_hlmt_091;base
he_fu_pl_desert;Desert Helm;Fighter;v_f_he_n;;armor;;;;he;;pl;;str;b_gui_ig_i_a_hlmt_025;base
he_fu_pl_grate;Slotted Helm;Fighter;v_f_he_n;;armor;;;;he;;pl;;str;b_gui_ig_i_a_hlmt_039;base
he_fu_pl_horn_avg;Horned Helm;Fighter;v_f_he_n;;armor;;;;he;;pl;;str;b_gui_ig_i_a_hlmt_005;base
he_fu_pl_horn_fin;Bull Helm;Fighter;v_f_he_n;;armor;;;;he;;pl;;str;b_gui_ig_i_a_hlmt_040;base
he_fu_pl_horn_fin_02;Brute Helm;Fighter;v_f_he_n;;armor;;;;he;;pl;;str;b_gui_ig_i_a_hlmt_084;base
he_fu_pl_horn_fin_03;Black Helm;Fighter;v_f_he_n;;armor;;;;he;;pl;;str;b_gui_ig_i_a_hlmt_085;base
he_fu_pl_horn_mag;Regal Helm;Fighter;v_f_he_n;;armor;;;;he;;pl;;str;b_gui_ig_i_a_hlmt_027;base
he_fu_pl_horn_mag_02;Raven Helm;Fighter;v_f_he_n;;armor;;;;he;;pl;;str;b_gui_ig_i_a_hlmt_088;base
he_fu_pl_knight;Great Helm;Fighter;v_f_he_n;;armor;;;;he;;pl;;str;b_gui_ig_i_a_hlmt_003;base
he_fu_pl_knight_02;Blaster Helm;Fighter;v_f_he_n;;armor;;;;he;;pl;;str;b_gui_ig_i_a_hlmt_093;base
he_fu_pl_knight_fin;Knight Helm;Fighter;v_f_he_n;;armor;;;;he;;pl;;str;b_gui_ig_i_a_hlmt_021;base
he_fu_pl_knight_fin_02;Karlat's Magic Helm;Fighter;v_f_he_n;;armor;;;;he;;pl;;str;b_gui_ig_i_a_hlmt_081;base
he_fu_pl_knight_fin_03;Sightless Helm;Fighter;v_f_he_s;;armor;;excluded;;he;;pl;;str;b_gui_ig_i_a_hlmt_082;base
he_fu_pl_knight_str;War Helm;Fighter;v_f_he_n;;armor;;;;he;;pl;;str;b_gui_ig_i_a_hlmt_018;base
he_fu_pl_knight_str_02;Bluster Helm;Fighter;v_f_he_n;;armor;;;;he;;pl;;str;b_gui_ig_i_a_hlmt_087;base
he_fu_pl_smallwings;Hawk Helm;Fighter;v_f_he_n;;armor;;;;he;;pl;;str;b_gui_ig_i_a_hlmt_033;base
he_fu_pl_smallwings_02;Guardian Helm;Fighter;v_f_he_n;;armor;;;;he;;pl;;str;b_gui_ig_i_a_hlmt_094;base
he_fu_pl_smallwings_kavaren;Utraean Helm;Fighter;v_f_he_s;;armor;;excluded;;he;;pl;;str;b_gui_ig_i_a_hlmt_094;base
he_fu_pl_spike;Spiked Helm;Fighter;v_f_he_n;;armor;;;;he;;pl;;str;b_gui_ig_i_a_hlmt_044;base
he_fu_pl_str;Heavy Helm;Fighter;v_f_he_n;;armor;;;;he;;pl;;str;b_gui_ig_i_a_hlmt_001;base
he_op_bigwings;Soaring Helm;Fighter;v_f_he_n;;armor;;;;he;;;;str;b_gui_ig_i_a_hlmt_043;base
he_op_bigwings_02;Winged Helm;Fighter;v_f_he_n;;armor;;;;he;;;;str;b_gui_ig_i_a_hlmt_086;base
he_op_pl_avg;Sentry Helm;Fighter;v_f_he_n;;armor;;;;he;;pl;;str;b_gui_ig_i_a_hlmt_002;base
he_op_pl_cone;Tusk Helm;Fighter;v_f_he_n;;armor;;;;he;;pl;;str;b_gui_ig_i_a_hlmt_030;base
he_op_pl_eyes;Face Helm;Fighter;v_f_he_n;;armor;;;;he;;pl;;str;b_gui_ig_i_a_hlmt_020;base
he_op_pl_roman;Parade Helm;Fighter;v_f_he_n;;armor;;;;he;;pl;;str;b_gui_ig_i_a_hlmt_029;base
he_op_pl_roman_02;Sovereign Helm;Fighter;v_f_he_n;;armor;;;;he;;pl;;str;b_gui_ig_i_a_hlmt_092;base
he_op_pl_santa;Crimson Helm;Fighter;v_f_he_n;;armor;;;;he;;pl;;str;b_gui_ig_i_a_hlmt_034;base
he_op_pl_santa_02;Dashing Helm;Fighter;v_f_he_n;;armor;;;;he;;pl;;str;b_gui_ig_i_a_hlmt_083;base
he_ra_ca_le_avg;Pauper Cap;;x_any;;armor;;;;he;rare;le;;;b_gui_ig_i_a_hlmt_103;base
he_ra_ca_pl_avg;Snug Cap;Fighter;v_f_he_s;;armor;;;;he;rare;pl;;str;b_gui_ig_i_a_hlmt_107;base
he_ra_ca_pl_cap;Wanderer Cap;Fighter;v_f_he_s;;armor;;;;he;rare;pl;;str;b_gui_ig_i_a_hlmt_106;base
he_ra_ca_pl_dome;Sheen Cap;Fighter;v_f_he_s;;armor;;;;he;rare;pl;;str;b_gui_ig_i_a_hlmt_105;base
he_ra_ca_ro_felt_01;Rustic Cap;Mage;v_m_hgb_s;;armor;;;;he;rare;ro;;int;b_gui_ig_i_a_hlmt_099;base
he_ra_ca_ro_flat_02;Pressed Cap;Mage;v_m_hgb_s;;armor;;;;he;rare;ro;;int;b_gui_ig_i_a_hlmt_123;base
he_ra_ca_ro_slope_04;Cerebral Cap;Mage;v_m_hgb_s;;armor;;;;he;rare;ro;;int;b_gui_ig_i_a_hlmt_096;base
he_ra_ca_ro_thin_04;Scratchy Cap;Mage;v_m_hgb_s;;armor;;;;he;rare;ro;;;b_gui_ig_i_a_hlmt_102;base
he_ra_ca_ro_wizard_03;Knowledge Cap;Mage;v_m_hgb_s;;armor;;;;he;rare;ro;;int;b_gui_ig_i_a_hlmt_097;base
he_ra_ca_ro_wizard_04;Knowledge Cap;Mage;v_m_hgb_s;;armor;;;;he;rare;ro;;;b_gui_ig_i_a_hlmt_095;base
he_ra_ca_ro_wizard_06;Knowledge Cap;Mage;v_m_hgb_s;;armor;;;;he;rare;ro;;int;b_gui_ig_i_a_hlmt_098;base
he_ra_ca_ro_wooly_02;Warmth Cap;Mage;v_m_hgb_s;;armor;;;;he;rare;ro;;int;b_gui_ig_i_a_hlmt_100;base
he_ra_ca_ro_wooly_04;Warmth Cap;Mage;v_m_hgb_s;;armor;;;;he;rare;ro;;int;b_gui_ig_i_a_hlmt_101;base
he_ra_ca_ro_woven_03;Loom Cap;Mage;v_m_hgb_s;;armor;;;;he;rare;ro;;int;b_gui_ig_i_a_hlmt_122;base
he_ra_ca_sl_avg;Traveling Cap;Fighter;v_f_he_s;;armor;;;;he;rare;sl;;str;b_gui_ig_i_a_hlmt_104;base
he_ra_fu_pl_desert;Seething Helm;Fighter;v_f_he_s;;armor;;;;he;rare;pl;;str;b_gui_ig_i_a_hlmt_113;base
he_ra_fu_pl_horn_fin;Gore Helm;Fighter;v_f_he_s;;armor;;;;he;rare;pl;;str;b_gui_ig_i_a_hlmt_118;base
he_ra_fu_pl_horn_mag;Conqueror Helm;Fighter;v_f_he_s;;armor;;;;he;rare;pl;;str;b_gui_ig_i_a_hlmt_121;base
he_ra_fu_pl_knight;Echo Helm;Fighter;v_f_he_s;;armor;;;;he;rare;pl;;str;b_gui_ig_i_a_hlmt_114;base
he_ra_fu_pl_knight_fin;Bloody Helm;Fighter;v_f_he_s;;armor;;;;he;rare;pl;;str;b_gui_ig_i_a_hlmt_119;base
he_ra_fu_pl_knight_fin_02;Bloody Helm;Fighter;v_f_he_s;;armor;;;;he;rare;pl;;str;b_gui_ig_i_a_hlmt_120;base
he_ra_fu_pl_knight_str;Menacing Helm;Fighter;v_f_he_s;;armor;;;;he;rare;pl;;str;b_gui_ig_i_a_hlmt_117;base
he_ra_fu_pl_spike;Prickly Helm;Fighter;v_f_he_s;;armor;;;;he;rare;pl;;str;b_gui_ig_i_a_hlmt_115;base
he_ra_fu_pl_str;Bolted Helm;Fighter;v_f_he_s;;armor;;;;he;rare;pl;;str;b_gui_ig_i_a_hlmt_116;base
he_ra_op_bigwings;Spirited Helm;Fighter;v_f_he_s;;armor;;;;he;rare;;;str;b_gui_ig_i_a_hlmt_111;base
he_ra_op_pl_avg;Jaw Helm;Fighter;v_f_he_s;;armor;;;;he;rare;pl;;str;b_gui_ig_i_a_hlmt_108;base
he_ra_op_pl_cone;Stature Helm;Fighter;v_f_he_s;;armor;;;;he;rare;pl;;str;b_gui_ig_i_a_hlmt_109;base
he_ra_op_pl_roman;Whiplash Helm;Fighter;v_f_he_s;;armor;;;;he;rare;pl;;str;b_gui_ig_i_a_hlmt_110;base
he_ra_un_fu_pl_skull;Disturbed Helm;Fighter;v_f_he_s;;armor;;;;he;unique;pl;;str;b_gui_ig_i_a_hlmt_124;base
he_ra_vi_pl_knight;Burdened Helm;Fighter;v_f_he_s;;armor;;;;he;rare;pl;;str;b_gui_ig_i_a_hlmt_112;base
he_un_ca_barbarian;Olaf's Helmet;Fighter;v_f_he_s;;armor;;;;he;unique;;;str;b_gui_ig_i_a_hlmt_047;base
he_un_ca_cowskull;Bovine Helm;Fighter;v_f_he_s;;armor;;;;he;unique;;;str;b_gui_ig_i_a_hlmt_017;base
he_un_ca_brim;Brimmed Hat;Fighter;v_f_he_s;;armor;;;;he;unique;;;str;b_gui_ig_i_a_hlmt_032;base
he_un_ca_moon;Luna Cap;Fighter;v_f_he_s;;armor;;;;he;unique;;;str;b_gui_ig_i_a_hlmt_026;base
he_un_ca_pl_guard_archer;Archer Helm;Fighter;v_f_he_s;;armor;;excluded;;he;unique;pl;;str;b_gui_ig_i_a_hlmt_052;base
he_un_ca_ro_warlock;Warlock Hat;Mage;v_m_hgb_s;;armor;;;;he;unique;ro;;;b_gui_ig_i_a_hlmt_125;base
he_un_ca_tallcrown;Imperial Helm;Fighter;v_f_he_s;;armor;;;;he;unique;;;str;b_gui_ig_i_a_hlmt_031;base
he_un_fu_crystal;Crystal Helm;Fighter;v_f_he_s;;armor;;;;he;unique;;;str;b_gui_ig_i_a_hlmt_048;base
he_un_fu_eyebrows;Eye Helm;Fighter;v_f_he_s;;armor;;;;he;unique;;;str;b_gui_ig_i_a_hlmt_023;base
he_un_fu_pl_fish;Fish Helm;Fighter;v_f_he_s;;armor;;;;he;unique;pl;;str;b_gui_ig_i_a_hlmt_042;base
he_un_fu_pl_fish_02;Dragonfly Helm;Fighter;v_f_he_s;;armor;;;;he;unique;pl;;str;b_gui_ig_i_a_hlmt_090;base
he_un_fu_pl_skull;Carnage Helm;Fighter;v_f_he_s;;armor;;;;he;unique;pl;;str;b_gui_ig_i_a_hlmt_022;base
he_un_mask_bone;Bone Helm;Fighter;v_f_he_s;;armor;;;;he;unique;;;str;b_gui_ig_i_a_hlmt_049;base
he_un_op_pl_guard_captain;Captain Helm;Fighter;v_f_he_s;;armor;;excluded;;he;unique;pl;;str;b_gui_ig_i_a_hlmt_054;base
he_un_op_pl_guard_fighter;Guard Helm;Fighter;v_f_he_s;;armor;;excluded;;he;unique;pl;;str;b_gui_ig_i_a_hlmt_053;base
he_un_spider;Black Widow Helmet;Fighter;v_f_he_s;;armor;;;;he;unique;;;str;b_gui_ig_i_a_hlmt_050;base
he_un_vi_dragon;Serpentine Helmet;Fighter;v_f_he_s;;armor;;;;he;unique;;;str;b_gui_ig_i_a_hlmt_051;base
he_un_vi_moto;Challenger Helm;Fighter;v_f_he_s;;armor;;;;he;unique;;;str;b_gui_ig_i_a_hlmt_041;base
he_vi_pl_knight;Knight Helm;Fighter;v_f_he_n;;armor;;;;he;;pl;;str;b_gui_ig_i_a_hlmt_007;base
sh_m_g_c_r_s_avg;Metal Buckler;Fighter;v_f_sh_n;;armor;;;;sh;;;;str;b_gui_ig_i_a_shd_078;c_mag, c_str, o_avg, o_fin, o_mag, o_str
sh_m_g_c_r_s_low;Rusted Metal Buckler;Fighter;v_f_sh_n;;armor;;;;sh;;;;;b_gui_ig_i_a_shd_072;
sh_ra_m_c_h_s_practice;Practice Shield;Fighter;v_f_sh_s;;armor;;;;sh;rare;;;str;b_gui_ig_i_a_shd_024;base
sh_ra_m_c_k_m_practice;Practice Kite Shield;Fighter;v_f_sh_s;;armor;;;;sh;rare;;;str;b_gui_ig_i_a_shd_058;base
